,user_id,time,0,date,pred_duration,pred_duration_int
19,115725,2021-12-03T17:38:53Z,2022-02-21 15:21:36,2021-12-03 00:00:00,80 days 15:21:36,80
20,115725,2021-12-03T18:01:53Z,2022-02-21 15:21:36,2021-12-03 00:00:00,80 days 15:21:36,80
18,115725,2021-12-03T17:37:35Z,2022-02-22 11:31:12,2021-12-03 00:00:00,81 days 11:31:12,81
17,115725,2021-12-03T17:35:29Z,2022-02-24 03:50:24,2021-12-03 00:00:00,83 days 03:50:24,83
25,115725,2021-12-04T23:39:36Z,2022-02-09 21:07:12,2021-12-04 00:00:00,67 days 21:07:12,67
24,115725,2021-12-04T23:06:31Z,2022-02-19 23:02:24,2021-12-04 00:00:00,77 days 23:02:24,77
23,115725,2021-12-04T15:17:40Z,2022-02-20 19:12:00,2021-12-04 00:00:00,78 days 19:12:00,78
22,115725,2021-12-04T15:17:09Z,2022-02-21 15:21:36,2021-12-04 00:00:00,79 days 15:21:36,79
21,115725,2021-12-04T15:14:56Z,2022-02-21 15:21:36,2021-12-04 00:00:00,79 days 15:21:36,79
26,115725,2021-12-06T12:34:48Z,2022-02-08 04:48:00,2021-12-06 00:00:00,64 days 04:48:00,64
27,115725,2021-12-07T01:00:25Z,2022-02-08 04:48:00,2021-12-07 00:00:00,63 days 04:48:00,63
29,115725,2021-12-07T15:12:38Z,2022-02-04 00:00:00,2021-12-07 00:00:00,59 days 00:00:00,59
30,115725,2021-12-07T19:24:10Z,2022-01-18 04:48:00,2021-12-07 00:00:00,42 days 04:48:00,42
31,115725,2021-12-07T19:24:24Z,2021-12-28 04:48:00,2021-12-07 00:00:00,21 days 04:48:00,21
32,115725,2021-12-07T23:21:41Z,2021-12-25 16:19:12,2021-12-07 00:00:00,18 days 16:19:12,18
28,115725,2021-12-07T11:40:35Z,2022-02-04 00:00:00,2021-12-07 00:00:00,59 days 00:00:00,59
33,115725,2021-12-08T14:43:42Z,2021-12-30 17:16:48,2021-12-08 00:00:00,22 days 17:16:48,22
34,115725,2021-12-09T16:54:13Z,2022-01-28 06:43:12,2021-12-09 00:00:00,50 days 06:43:12,50
35,115725,2021-12-10T15:29:24Z,2022-01-31 15:21:36,2021-12-10 00:00:00,52 days 15:21:36,52
36,115725,2021-12-11T14:51:52Z,2022-01-31 15:21:36,2021-12-11 00:00:00,51 days 15:21:36,51
37,115725,2021-12-17T15:43:59Z,2022-01-31 15:21:36,2021-12-17 00:00:00,45 days 15:21:36,45
38,115725,2021-12-20T02:05:30Z,2021-12-03 20:09:36,2021-12-20 00:00:00,-17 days +20:09:36,-17
92,115725,2021-12-26T14:36:55Z,2022-03-11 06:43:12,2021-12-26 00:00:00,75 days 06:43:12,75
94,115725,2021-12-30T14:40:21Z,2022-03-11 06:43:12,2021-12-30 00:00:00,71 days 06:43:12,71
93,115725,2021-12-30T14:40:12Z,2022-03-11 06:43:12,2021-12-30 00:00:00,71 days 06:43:12,71
95,115725,2022-01-03T02:20:18Z,2022-03-10 10:33:36,2022-01-03 00:00:00,66 days 10:33:36,66
97,115725,2022-01-03T13:03:20Z,2022-03-11 06:43:12,2022-01-03 00:00:00,67 days 06:43:12,67
96,115725,2022-01-03T02:20:47Z,2022-03-11 06:43:12,2022-01-03 00:00:00,67 days 06:43:12,67
98,115725,2022-01-07T17:07:41Z,2022-03-11 06:43:12,2022-01-07 00:00:00,63 days 06:43:12,63
99,115725,2022-01-11T03:47:33Z,2022-03-07 01:55:12,2022-01-11 00:00:00,55 days 01:55:12,55
101,115725,2022-01-12T14:28:43Z,2022-03-09 14:24:00,2022-01-12 00:00:00,56 days 14:24:00,56
100,115725,2022-01-12T04:26:07Z,2022-03-08 18:14:24,2022-01-12 00:00:00,55 days 18:14:24,55
104,115725,2022-01-13T21:55:31Z,2022-03-11 06:43:12,2022-01-13 00:00:00,57 days 06:43:12,57
103,115725,2022-01-13T21:55:21Z,2022-03-11 06:43:12,2022-01-13 00:00:00,57 days 06:43:12,57
102,115725,2022-01-13T21:54:44Z,2022-03-09 14:24:00,2022-01-13 00:00:00,55 days 14:24:00,55
35,115725,2022-01-14T17:12:47Z,2022-03-26 09:36:00,2022-01-14 00:00:00,71 days 09:36:00,71
36,115725,2022-01-14T17:13:17Z,2022-03-28 01:55:12,2022-01-14 00:00:00,73 days 01:55:12,73
37,115725,2022-01-23T18:40:19Z,2022-04-01 06:43:12,2022-01-23 00:00:00,68 days 06:43:12,68
38,115725,2022-02-01T02:44:10Z,2022-04-02 02:52:48,2022-02-01 00:00:00,60 days 02:52:48,60
39,115725,2022-02-02T15:02:21Z,2022-04-02 02:52:48,2022-02-02 00:00:00,59 days 02:52:48,59
