decision_date,const_dec_prior
2021-11-30,47
2021-12-01,47
2021-12-02,47
2021-12-03,47
2021-12-04,47
2021-12-05,47
2021-12-06,47
2021-12-07,47
2021-12-08,47
2021-12-09,47
2021-12-10,47
2021-12-11,47
2021-12-12,47
2021-12-13,47
2021-12-14,47
2021-12-15,47
2021-12-16,47
2021-12-17,47
2021-12-18,47
2021-12-19,47
2021-12-20,47
2021-12-21,47
2021-12-22,47
2021-12-23,47
2021-12-24,47
2021-12-25,47
2021-12-26,47
2021-12-27,47
2021-12-28,47
2021-12-29,47
2021-12-30,47
2021-12-31,47
2022-01-01,47
2022-01-02,47
2022-01-03,46
2022-01-04,46
2022-01-05,46
2022-01-06,46
2022-01-07,44
2022-01-08,45
2022-01-09,44
2022-01-10,42
2022-01-11,38
2022-01-12,31
2022-01-13,30
2022-01-14,29
